Epoch,Loss,EpochTime,Hits@1,Hits@10,Hits@30,Hits@50,MRR,memory,infer_time
1,13.939240455627441,0.07,0.2693,0.4078,0.4168,0.4251,0.3279,0.9695,3.9522
2,6.355220794677734,0.0635,0.448,0.8374,0.8453,0.8469,0.5945,0.9882,4.0157
3,4.482395648956299,0.0628,0.5184,0.9335,0.9603,0.9609,0.6648,1.0051,4.0785
4,3.410989999771118,0.0632,0.552,0.9575,0.9894,0.9899,0.6993,1.0052,4.1417
5,2.6962993144989014,0.0632,0.5346,0.967,0.9961,0.9966,0.6905,1.0164,4.2049
6,2.1800451278686523,0.0635,0.5726,0.9642,1.0,1.0,0.7151,1.0164,4.2684
7,1.789206862449646,0.0631,0.5492,0.9715,1.0,1.0,0.7006,1.0164,4.3314
8,1.4841655492782593,0.0624,0.5659,0.9659,1.0,1.0,0.7112,1.0239,4.3938
9,1.2409788370132446,0.0629,0.5587,0.9654,1.0,1.0,0.7067,1.0239,4.4567
10,1.0440822839736938,0.0627,0.5676,0.9654,1.0,1.0,0.711,1.0239,4.5195
11,0.8827969431877136,0.0633,0.5603,0.9642,1.0,1.0,0.7056,1.0239,4.5828
12,0.7494838833808899,0.0626,0.5698,0.9665,1.0,1.0,0.7113,1.0239,4.6454
13,0.6385051012039185,0.0631,0.5626,0.9631,1.0,1.0,0.707,1.0239,4.7085
14,0.5455857515335083,0.0631,0.5676,0.9654,1.0,1.0,0.7097,1.0239,4.7716
15,0.46741703152656555,0.0626,0.5637,0.9631,1.0,1.0,0.7079,1.0239,4.8342
16,0.40139299631118774,0.0627,0.5626,0.9654,1.0,1.0,0.7068,1.0239,4.8969
17,0.34543535113334656,0.0629,0.5615,0.9642,1.0,1.0,0.7067,1.0239,4.9598
18,0.29786619544029236,0.0627,0.562,0.9631,1.0,1.0,0.707,1.0239,5.0225
19,0.25731804966926575,0.0625,0.5642,0.9631,1.0,1.0,0.7086,1.0239,5.085
20,0.2226712852716446,0.063,0.5637,0.9631,1.0,1.0,0.7087,1.024,5.148
21,0.19299961626529694,0.0628,0.5654,0.9631,1.0,1.0,0.7091,1.024,5.2108
22,0.16753710806369781,0.0626,0.5637,0.9631,1.0,1.0,0.7088,1.0362,5.2734
23,0.14564301073551178,0.063,0.5654,0.9631,1.0,1.0,0.7096,1.0362,5.3364
24,0.1267835795879364,0.0627,0.5615,0.9631,1.0,1.0,0.7071,1.0362,5.3991
25,0.11050965636968613,0.0636,0.5637,0.9631,1.0,1.0,0.7082,1.0362,5.4627
26,0.09644369781017303,0.0626,0.5637,0.9631,1.0,1.0,0.7086,1.0362,5.5253
27,0.08426745980978012,0.0629,0.5648,0.9631,1.0,1.0,0.7088,1.0362,5.5882
28,0.07371068745851517,0.0628,0.5648,0.9631,1.0,1.0,0.7087,1.0363,5.651
29,0.06454519927501678,0.0633,0.5648,0.9631,1.0,1.0,0.7087,1.0363,5.7143
30,0.056576792150735855,0.0627,0.5654,0.9631,1.0,1.0,0.709,1.0363,5.777
31,0.04963988438248634,0.0634,0.5654,0.9631,1.0,1.0,0.7091,1.0363,5.8404
32,0.043593451380729675,0.0675,0.5659,0.9631,1.0,1.0,0.7093,1.0363,5.9078
33,0.03831690177321434,0.0658,0.5654,0.9631,1.0,1.0,0.7091,1.0363,5.9736
34,0.033706843852996826,0.0646,0.5659,0.9631,1.0,1.0,0.7093,1.0363,6.0383
35,0.029674850404262543,0.0631,0.5659,0.9631,1.0,1.0,0.7094,1.0363,6.1014
36,0.02614455297589302,0.0628,0.5665,0.9631,1.0,1.0,0.7095,1.0363,6.1642
37,0.02305055595934391,0.0625,0.5659,0.9631,1.0,1.0,0.7093,1.0363,6.2267
38,0.020336415618658066,0.0631,0.567,0.9631,1.0,1.0,0.7097,1.0363,6.2898
39,0.017953237518668175,0.0638,0.567,0.9631,1.0,1.0,0.7098,1.0363,6.3535
40,0.01585886999964714,0.0652,0.567,0.9631,1.0,1.0,0.7098,1.0363,6.4187
41,0.014016877859830856,0.0657,0.567,0.9631,1.0,1.0,0.7098,1.0363,6.4844
42,0.012395498342812061,0.0659,0.567,0.9631,1.0,1.0,0.7098,1.0363,6.5503
43,0.010967286303639412,0.0652,0.5676,0.9631,1.0,1.0,0.7103,1.0363,6.6155
44,0.009708319790661335,0.0633,0.567,0.9631,1.0,1.0,0.7098,1.0363,6.6789
45,0.008597892709076405,0.0628,0.5682,0.9631,1.0,1.0,0.7106,1.0363,6.7416
46,0.00761779397726059,0.0631,0.567,0.9631,1.0,1.0,0.7098,1.0437,6.8047
47,0.006752174347639084,0.0636,0.5682,0.9631,1.0,1.0,0.7106,1.0437,6.8683
48,0.005987240932881832,0.0655,0.5682,0.9631,1.0,1.0,0.7105,1.0437,6.9338
49,0.005310982931405306,0.0657,0.5682,0.9631,1.0,1.0,0.7105,1.0437,6.9995
50,0.004712758120149374,0.065,0.5682,0.9631,1.0,1.0,0.7105,1.0437,7.0645
