Epoch,Loss,EpochTime,Hits@1,Hits@10,Hits@30,Hits@50,MRR,memory,infer_time
1,19.787696838378906,1.0993,0.4564,0.8737,0.9335,0.9531,0.5963,1.2847,1.7911
2,19.76036262512207,1.0691,0.4598,0.8737,0.933,0.9536,0.597,1.2896,1.797
3,19.73310089111328,1.056,0.4654,0.8732,0.933,0.952,0.6007,1.3018,1.787
4,19.705909729003906,1.0543,0.4648,0.8721,0.9324,0.9514,0.6016,1.3019,1.7822
5,19.678783416748047,1.0446,0.4715,0.8721,0.9318,0.952,0.6045,1.302,1.7745
6,19.651708602905273,1.088,0.4704,0.8715,0.9313,0.9514,0.6063,1.3115,1.8036
7,19.624677658081055,1.1106,0.4743,0.8737,0.9313,0.9508,0.6098,1.3115,1.8387
8,19.597679138183594,1.0509,0.4777,0.876,0.9307,0.9508,0.612,1.3115,1.7797
9,19.570697784423828,1.0518,0.486,0.8754,0.9352,0.9508,0.6186,1.3162,1.7808
10,19.543699264526367,1.0507,0.4905,0.8777,0.9346,0.9497,0.6224,1.3163,1.7797
11,19.516643524169922,1.048,0.5039,0.8799,0.9358,0.9497,0.6326,1.321,1.7768
12,19.48953628540039,1.0569,0.5134,0.8827,0.9358,0.9514,0.6399,1.321,1.786
13,19.462430953979492,1.0518,0.5196,0.8866,0.9369,0.9525,0.6462,1.3257,1.7814
14,19.435279846191406,1.0468,0.5302,0.8905,0.9369,0.9542,0.6548,1.3257,1.776
15,19.40799903869629,1.0481,0.5352,0.8894,0.9363,0.9542,0.6586,1.3258,1.7772
16,19.38051986694336,1.0449,0.5408,0.8933,0.9363,0.9547,0.6635,1.3304,1.7741
17,19.352773666381836,1.0464,0.5503,0.8927,0.938,0.9536,0.6696,1.3305,1.7751
18,19.324790954589844,1.0475,0.5564,0.8955,0.9391,0.9559,0.6741,1.3352,1.7752
19,19.296783447265625,1.0483,0.5682,0.8961,0.9402,0.9575,0.6825,1.3352,1.7772
20,19.26878547668457,1.0545,0.5737,0.8983,0.9436,0.9603,0.6859,1.3352,1.7754
21,19.24069595336914,1.1624,0.576,0.9,0.9453,0.9609,0.6881,1.3352,1.8796
22,19.21251678466797,1.1522,0.5816,0.9039,0.9458,0.9609,0.6938,1.3353,1.8747
23,19.184268951416016,1.1061,0.5832,0.9034,0.9464,0.9603,0.6967,1.3353,1.8208
24,19.155973434448242,1.1027,0.5939,0.9056,0.9475,0.9592,0.7029,1.3353,1.8325
25,19.12764549255371,1.0948,0.5944,0.9084,0.9469,0.9598,0.7047,1.3353,1.8231
26,19.099285125732422,1.0977,0.5955,0.9067,0.9469,0.9609,0.7055,1.3354,1.8192
27,19.07089614868164,1.1036,0.5989,0.9078,0.9458,0.9615,0.709,1.3354,1.8299
28,19.042490005493164,1.0378,0.6061,0.9084,0.9458,0.9615,0.7132,1.3401,1.7666
29,19.014070510864258,1.1326,0.6011,0.9101,0.9469,0.9615,0.7121,1.3401,1.8256
30,18.98564338684082,1.0983,0.605,0.9117,0.9475,0.9609,0.7145,1.3402,1.8276
31,18.957242965698242,1.0336,0.614,0.9123,0.948,0.9609,0.719,1.3402,1.7644
32,18.92893409729004,1.0321,0.6112,0.9106,0.948,0.962,0.7176,1.3402,1.7627
33,18.90076446533203,1.0333,0.6101,0.9123,0.9497,0.9631,0.7181,1.3402,1.7633
34,18.87279510498047,1.0388,0.6095,0.9123,0.9497,0.9626,0.7175,1.3403,1.7672
35,18.845064163208008,1.04,0.6106,0.9117,0.9514,0.9642,0.7175,1.3403,1.7708
36,18.817604064941406,1.0269,0.6089,0.9112,0.9503,0.9631,0.7164,1.3403,1.7573
37,18.79043960571289,1.0259,0.6134,0.9101,0.9497,0.962,0.7189,1.3404,1.7563
38,18.763643264770508,1.0316,0.6128,0.9089,0.9486,0.9603,0.7186,1.3404,1.7611
39,18.737201690673828,1.0456,0.6145,0.9101,0.9475,0.9592,0.7188,1.3404,1.7749
40,18.711116790771484,1.0352,0.6173,0.9078,0.9475,0.9587,0.7204,1.3404,1.7655
41,18.685527801513672,1.0522,0.614,0.9073,0.9453,0.9553,0.7198,1.3405,1.7799
42,18.660499572753906,1.0418,0.6173,0.9061,0.9419,0.9531,0.7212,1.3405,1.7708
43,18.63600730895996,1.0279,0.6156,0.9056,0.9419,0.9525,0.7191,1.3405,1.7552
44,18.61211585998535,1.0342,0.6184,0.905,0.9408,0.9508,0.7209,1.3405,1.7647
45,18.588916778564453,1.0471,0.6123,0.9022,0.9385,0.948,0.7169,1.3405,1.7711
46,18.566740036010742,1.0436,0.6123,0.9017,0.9391,0.948,0.717,1.3405,1.7723
47,18.545320510864258,1.0528,0.6089,0.9017,0.9391,0.9469,0.7147,1.3405,1.7829
48,18.524608612060547,1.038,0.6045,0.9011,0.9402,0.9469,0.7124,1.3405,1.7677
49,18.50467300415039,1.0495,0.6101,0.9011,0.938,0.9475,0.7163,1.3405,1.7781
50,18.48553466796875,1.0394,0.6128,0.9011,0.9358,0.9447,0.7171,1.3405,1.7695
